AOA,Beta,d_e,d_a,d_r,p,q,r,Cx,Cy,Cz,Cl,Cm,Cn
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00,-8.7300000000000000e-01, 5.4308836593117880e-02,-9.6669488922711318e-03, 1.2208054551903262e+00, 1.5667613516344298e-02, 5.9895871238104426e-01, 1.7002038839727795e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.0813248594566820e-02, 2.8531618986710538e-02, 1.2110596680489969e+00, 6.9706859939448239e-03, 5.9907855385601794e-01,-1.2673278832261313e-03
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00,-1.1599999999999999e+00, 0.0000000000000000e+00, 9.0443899921623841e-02, 1.3218942842044955e-02, 1.3518326421561715e+00, 3.1249738828110695e-03, 7.8673303671479733e-01, 8.1039324110043793e-03
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00,-1.1599999999999999e+00, 8.7300000000000000e-01, 9.8817337138225894e-02, 5.4085324509026582e-02, 1.3438704791994025e+00,-5.7464777271683341e-03, 7.8801084965748913e-01,-1.1195651548201594e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00, 1.1599999999999999e+00,-8.7300000000000000e-01, 5.7835279491142220e-02,-6.7767485026573385e-02, 1.1069867625728276e+00,-1.0144963487199743e-01, 3.6463261209059339e-01, 4.8926313261201906e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00, 1.1599999999999999e+00, 0.0000000000000000e+00, 6.1019400577107565e-02,-3.2332025225752584e-02, 1.1115542800746885e+00,-1.0879818539244350e-01, 3.7654674632034624e-01, 3.1535017740065625e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00,-1.1599999999999999e+00,-8.7300000000000000e-01, 1.3687616552677856e-01, 4.7308542090140446e-02, 1.4349480263704975e+00, 1.3936763229058319e-01, 9.0207006577354187e-01,-1.6536927857715929e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00,-1.1599999999999999e+00, 0.0000000000000000e+00, 1.4781588943919771e-01, 8.9267685800753782e-02, 1.4141815051241555e+00, 1.2966900270077863e-01, 8.9458677738131065e-01,-3.6224963614400696e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00, 1.1599999999999999e+00,-8.7300000000000000e-01, 7.7722790449732793e-02, 7.7843634246843332e-02, 1.1475951792040162e+00, 1.3775666610308926e-01, 5.1972258324807874e-01,-3.3147640292983921e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00, 1.1599999999999999e+00, 0.0000000000000000e+00, 8.6693605154300454e-02, 1.1568179746662478e-01, 1.1212707904946551e+00, 1.2911036691457475e-01, 5.0560776121962414e-01,-5.1229227347018666e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.5155121193076560e-02,-5.1349170313532706e-02, 1.2391035070801495e+00,-1.1629803780209412e-01, 5.4660220872147058e-01, 4.4509358558370807e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00, 0.0000000000000000e+00, 8.7300000000000000e-01, 8.0455610004432146e-02,-1.3779786712816801e-02, 1.2465873953670847e+00,-1.2383077504277666e-01, 5.6098463016843347e-01, 2.6378802100546585e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1599999999999999e+00,-8.7300000000000000e-01, 6.4327466634376357e-02, 1.1124401445128827e-01, 1.0656970194698152e+00, 3.5788674621342678e-02, 3.7820072111280439e-01,-4.5207875823969505e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1599999999999999e+00, 0.0000000000000000e+00, 7.3370757046652149e-02, 1.4988642833673829e-01, 1.0549141224844802e+00, 2.8048565357558772e-02, 3.7511940850901343e-01,-6.3994681351665722e-02
